iter	Logloss
0	0.6284181245
1	0.5656804714
2	0.5249190558
3	0.489928265
4	0.4552885302
5	0.4272355579
6	0.4059013055
7	0.3911407367
8	0.3757834662
9	0.3629497606
10	0.3501354399
11	0.3370563222
12	0.3284114396
13	0.3182389136
14	0.308963075
15	0.3005527574
16	0.2933846039
17	0.2868451229
18	0.2807770813
19	0.2749687766
20	0.2694697996
21	0.2653070048
22	0.2608442242
23	0.256802254
24	0.2527153378
25	0.2496548088
26	0.2450124001
27	0.241849523
28	0.2388912383
29	0.2342222564
30	0.2325159709
31	0.2282391503
32	0.2258639173
33	0.2219017185
34	0.2192841614
35	0.2164339598
36	0.2140717539
37	0.211264513
38	0.2104838754
39	0.2086392227
40	0.2064952461
41	0.204413693
42	0.2020387066
43	0.2001390263
44	0.1977658953
45	0.1936578296
46	0.190761644
47	0.189169462
48	0.1875758009
49	0.1851700374
50	0.1833246581
51	0.1805778426
52	0.1798291498
53	0.1774896894
54	0.1762656517
55	0.173994259
56	0.172538952
57	0.1699469041
58	0.1691586112
59	0.1672495628
60	0.1655983957
61	0.1644234819
62	0.1627670599
63	0.1616587736
64	0.1603643197
65	0.1583178384
66	0.1571014171
67	0.1551614359
68	0.1538733658
69	0.1517323085
70	0.1503630398
71	0.1485090191
72	0.1475286159
73	0.1456560667
74	0.1441099725
75	0.1428311277
76	0.1420717045
77	0.1400440112
78	0.1385858497
79	0.1370063963
80	0.1355414618
81	0.1339522122
82	0.1327732631
83	0.1316438792
84	0.1303423538
85	0.1293811149
86	0.1282750733
87	0.1279557676
88	0.1267339486
89	0.1250978846
90	0.1239708621
91	0.1234588623
92	0.1214446502
93	0.1201399719
94	0.1184160012
95	0.1168752138
96	0.1152256816
97	0.1129685876
98	0.1120906233
99	0.1102360317
100	0.1090921155
101	0.1081162537
102	0.1076849983
103	0.1065244675
104	0.1044292969
105	0.1033458775
106	0.1018653013
107	0.1004164235
108	0.1000092046
109	0.0985255728
110	0.09846135224
111	0.09709210298
112	0.09597253475
113	0.09498978959
114	0.09434519657
115	0.0928743583
116	0.09224624374
117	0.09123403848
118	0.09045322574
119	0.08998507545
120	0.08966209775
121	0.08956192951
122	0.08855459641
123	0.08768908183
124	0.08625354248
125	0.08568226561
126	0.0848356234
127	0.08384122005
128	0.08302889714
129	0.08183177637
130	0.08068262476
131	0.07972635542
132	0.07914684581
133	0.07887532111
134	0.07861716082
135	0.07791991461
136	0.07730387993
137	0.07636234387
138	0.07558149221
139	0.07459864973
140	0.07384275579
141	0.07357265187
142	0.07299756031
143	0.07240371964
144	0.07232475281
145	0.07212847755
146	0.07129708115
147	0.07114477222
148	0.07015727815
149	0.06927136012
150	0.06804941138
151	0.06706273475
152	0.0663820124
153	0.06593505704
154	0.0652631578
155	0.06440510393
156	0.0634748887
157	0.06271656841
158	0.06174929612
159	0.0614243981
160	0.06104979223
161	0.06061792049
162	0.05989675457
163	0.05882906752
164	0.05801839245
165	0.05741238756
166	0.05663395577
167	0.05607874215
168	0.05572574641
169	0.05520559817
170	0.05518391668
171	0.05437838626
172	0.0541319912
173	0.05348424522
174	0.0534185455
175	0.05274150485
176	0.05225840718
177	0.05160884468
178	0.05102659731
179	0.05044600428
180	0.05002354278
181	0.0496446097
182	0.04909377195
183	0.0487457749
184	0.04845416465
185	0.04839062204
186	0.04790810825
187	0.04766334482
188	0.04738359386
189	0.04703511673
190	0.04650278156
191	0.04644500317
192	0.04594842431
193	0.04549065739
194	0.04540256578
195	0.04504565155
196	0.04469546818
197	0.04415938319
198	0.04379803469
199	0.04331611452
200	0.04317400407
201	0.04294852172
202	0.04266264649
203	0.04241536912
204	0.0420681376
205	0.04179307068
206	0.04146849704
207	0.04123401966
208	0.04105776832
209	0.04059626132
210	0.04020333452
211	0.03978510617
212	0.03959796542
213	0.03912042436
214	0.03888577507
215	0.03848336019
216	0.03820288587
217	0.03779304595
218	0.03748609906
219	0.03714723328
220	0.0368553765
221	0.03665667488
222	0.03654332712
223	0.03619846033
224	0.03591329873
225	0.03588020558
226	0.03568557817
227	0.03552798511
228	0.03521707755
229	0.03489977973
230	0.03469838253
231	0.03467607823
232	0.03453085374
233	0.03425241328
234	0.03391635012
235	0.03373063989
236	0.03352274214
237	0.03309478241
238	0.0329838091
239	0.03267169485
240	0.0324646048
241	0.03234354006
242	0.03215981179
243	0.03183019405
244	0.03181077672
245	0.03174558627
246	0.03168837229
247	0.03151616272
248	0.03120446692
249	0.03098711676
250	0.03075793649
251	0.03034999744
252	0.03020236281
253	0.02990954912
254	0.02971843149
255	0.02955286519
256	0.02928214819
257	0.02911786644
258	0.02888840396
259	0.02873490132
260	0.02843247303
261	0.0282727261
262	0.02809432412
263	0.02795848068
264	0.02769643758
265	0.02752011487
266	0.02727933806
267	0.0270994634
268	0.02685823084
269	0.02662525047
270	0.02648677631
271	0.02635981112
272	0.02624187015
273	0.0260313871
274	0.02585791406
275	0.02580948914
276	0.02567811564
277	0.02551777184
278	0.02539677685
279	0.02537084923
280	0.02523635845
281	0.0250135798
282	0.02468082532
283	0.02453502344
284	0.02429346811
285	0.02410914947
286	0.02395402493
287	0.02380046877
288	0.02366687814
289	0.02356057913
290	0.02336483261
291	0.02316578716
292	0.02294754171
293	0.02270906637
294	0.02257237142
295	0.02243592139
296	0.02223414466
297	0.02207748582
298	0.02196645412
299	0.02185066379
